TxnID,Date,Description,Internal reference,External reference,Currency,Amount,Balance after transaction,Match,Booking,Synced to Dooer date
"1550","2018-11-16","D1006-P219","D1006-P219","147","SEK","-1590","6811.62","Doc 1006","A979","2018-12-04 15:55:13"
"1549","2018-11-16","D997-P228","D997-P228","Utlägg, Resa","SEK","-119","8401.62","Doc 997","A976","2018-12-04 15:55:13"
"1548","2018-11-16","D382-P230","D382-P230","Utlägg Frisk","SEK","-550","8520.62","Doc 382","A960","2018-12-04 15:55:13"
"1547","2018-11-16","D989-P229","D989-P229","Interreprese","SEK","-647","9070.62","Doc 989","A961","2018-12-04 15:55:13"
"1546","2018-11-13","8662781349  /18-11-12","8662781349  /18-11-12","8662781349  /18-11-12","SEK","-320.32","9717.62","","A953","2018-12-04 15:55:13"
"1545","2018-11-13","Kostnad","Kostnad","Kostnad","SEK","-35","10037.94","","A968","2018-12-04 15:55:13"
"1544","2018-11-13","283179460558","283179460558","283179460558","SEK","-26754.25","10072.94","","A982","2018-12-04 15:55:13"
"1543","2018-11-13","Bg 759-8147","Bg 759-8147","Bg 759-8147","SEK","31250","36827.19","","","2018-12-04 15:55:13"
"1542","2018-11-12","London      /18-11-11","London      /18-11-11","London      /18-11-11","SEK","-232.48","5577.19","Doc 1071","A964","2018-12-04 15:55:13"
"1541","2018-11-12","8773818743  /18-11-11","8773818743  /18-11-11","8773818743  /18-11-11","SEK","-232.48","5809.67","","A956","2018-12-04 15:55:13"
"1540","2018-11-12","Tallinn     /18-11-12","Tallinn     /18-11-12","Tallinn     /18-11-12","SEK","-609.77","6042.15","Doc 1072","A983","2018-12-04 15:55:13"
"1539","2018-11-12","G Co/helppay/18-11-09","G Co/helppay/18-11-09","G Co/helppay/18-11-09","SEK","-232.48","6651.92","Doc 1070","A981","2018-12-04 15:55:13"
"1538","2018-11-07","8887799666  /18-11-06","8887799666  /18-11-06","8887799666  /18-11-06","SEK","-983.29","6884.4","","A962","2018-12-04 15:55:13"
"1537","2018-11-06","Db Tt/cchelp/18-11-05","Db Tt/cchelp/18-11-05","Db Tt/cchelp/18-11-05","SEK","-105.53","7867.69","Doc 1097","A973","2018-12-04 15:55:13"
"1536","2018-11-06","562-292-3834/18-11-04","562-292-3834/18-11-04","562-292-3834/18-11-04","SEK","-270.41","7973.22","","A980","2018-12-04 15:55:13"
"1535","2018-11-06","8009799850  /18-11-05","8009799850  /18-11-05","8009799850  /18-11-05","SEK","-559.47","8243.63","Doc 1065","A966","2018-12-04 15:55:13"
"1529","2018-11-05","Google  Clou/18-11-02","Google  Clou/18-11-02","Google  Clou/18-11-02","SEK","-0.01","8803.1","Doc 1061","A803","2018-11-05 13:14:33"
"1528","2018-11-05","4154486673  /18-11-02","4154486673  /18-11-02","4154486673  /18-11-02","SEK","-65.17","8803.11","Doc 1068","A989","2018-11-05 13:14:33"
"1527","2018-11-05","Toronto     /18-11-02","Toronto     /18-11-02","Toronto     /18-11-02","SEK","-116.1","8868.28","Doc 1057","A969","2018-11-05 13:14:33"
"1526","2018-11-02","Ccögoogle Co/18-11-01","Ccögoogle Co/18-11-01","Ccögoogle Co/18-11-01","SEK","-339.12","8984.38","Doc 1026","A949","2018-11-05 13:14:33"
"1525","2018-11-02","6463978051  /18-11-01","6463978051  /18-11-01","6463978051  /18-11-01","SEK","-52.92","9323.5","Doc 1067","A954","2018-11-05 13:14:33"
"1524","2018-11-01","San Francisc/18-10-31","San Francisc/18-10-31","San Francisc/18-10-31","SEK","-161.82","9376.42","","A952","2018-11-05 13:14:33"
"1523","2018-11-01","Trygg-Hansa","Trygg-Hansa","Trygg-Hansa","SEK","-301","9538.24","","A978","2018-11-05 13:14:33"
"1522","2018-10-31","8444658243  /18-10-30","8444658243  /18-10-30","8444658243  /18-10-30","SEK","-56.01","9839.24","","A904","2018-11-05 13:14:33"
"1397","2018-10-30","Skatteverket","",,"SEK","-47502","9895.25","","A916","2018-10-30 08:55:39"
"1396","2018-10-29","3122815333  /18-10-28","3122815333  /18-10-28","3122815333  /18-10-28","SEK","-931.13","57397.25","Doc 1060","A840","2018-10-30 08:55:39"
"1395","2018-10-29","Everyday AB","Everyday AB","Everyday AB","SEK","6250","58328.38","","A839","2018-10-30 08:55:39"
"1394","2018-10-29","52223425127","52223425127","Everyday AB","SEK","-6250","52078.38","","A838","2018-10-30 08:55:39"
"1391","2018-10-29","Klientmedel Billogram AB","",,"SEK","-1139","58328.38","Doc 1012","A837","2018-10-29 09:07:28"
"1390","2018-10-29","8778877815  /18-10-26","8778877815  /18-10-26","8778877815  /18-10-26","SEK","-3063.03","59467.38","Doc 1051","A836","2018-10-29 09:07:28"
"1389","2018-10-26","4158004537  /18-10-24","4158004537  /18-10-24","4158004537  /18-10-24","SEK","-543.58","62530.41","Doc 1017","A835","2018-10-29 09:07:28"
"1388","2018-10-26","R123-P221","R123-P221","Lön","SEK","-16333","63073.99","Rep 123","A833","2018-10-29 09:07:28"
"1387","2018-10-26","Bg 759-8147","Bg 759-8147","Bg 759-8147","SEK","74812.5","79406.99","","","2018-10-29 09:07:28"
"1386","2018-10-25","Norrsken Hou/18-10-24","Norrsken Hou/18-10-24","Norrsken Hou/18-10-24","SEK","-11250","4594.49","Doc 1013","A806","2018-10-29 09:07:28"
"1385","2018-10-25","8887799666  /18-10-24","8887799666  /18-10-24","8887799666  /18-10-24","SEK","-164.73","15844.49","Doc 1019","A832","2018-10-29 09:07:28"
"1384","2018-10-24","4154486673  /18-10-23","4154486673  /18-10-23","4154486673  /18-10-23","SEK","-232.22","16009.22","Doc 1016","A831","2018-10-29 09:07:28"
"1383","2018-10-22","8778877815  /18-10-20","8778877815  /18-10-20","8778877815  /18-10-20","SEK","-454.73","16241.44","","A905","2018-10-29 09:07:28"
"1382","2018-10-22","Lowell Sverige AB ""fd Li","",,"SEK","-180.22","16696.17","Doc 1003","A830","2018-10-29 09:07:28"
"1381","2018-10-19","15126403000 /18-10-18","15126403000 /18-10-18","15126403000 /18-10-18","SEK","-268.15","16876.39","","A906","2018-10-29 09:07:28"
"1380","2018-10-18","8778877815  /18-10-17","8778877815  /18-10-17","8778877815  /18-10-17","SEK","-908.45","17144.54","Doc 1030","A848,A880","2018-10-29 09:07:28"
"1379","2018-10-15","Bruce       /18-10-14","Bruce       /18-10-14","Bruce       /18-10-14","SEK","-799","18052.99","Doc 1093","A907","2018-10-29 09:07:28"
"1378","2018-10-15","Tallinn     /18-10-12","Tallinn     /18-10-12","Tallinn     /18-10-12","SEK","-616.79","18851.99","Doc 1054","A829","2018-10-29 09:07:28"
"1377","2018-10-12","London      /18-10-11","London      /18-10-11","London      /18-10-11","SEK","-233.75","19468.78","Doc 1015","A908","2018-10-29 09:07:28"
"1376","2018-10-12","8773818743  /18-10-11","8773818743  /18-10-11","8773818743  /18-10-11","SEK","-233.75","19702.53","Doc 1048","A828","2018-10-29 09:07:28"
"1375","2018-10-11","Klientmedel Billogram AB","",,"SEK","-1781","19936.28","Doc 979","A827","2018-10-29 09:07:28"
"1374","2018-10-10","61383766284 /18-10-09","61383766284 /18-10-09","61383766284 /18-10-09","SEK","-253.09","21717.28","","A909","2018-10-29 09:07:28"
"1373","2018-10-09","8662781349  /18-10-08","8662781349  /18-10-08","8662781349  /18-10-08","SEK","-320.65","21970.37","","A910","2018-10-29 09:07:28"
"1372","2018-10-08","8887799666  /18-10-06","8887799666  /18-10-06","8887799666  /18-10-06","SEK","-543.89","22291.02","Doc 1018","A788","2018-10-29 09:07:28"
"1371","2018-10-08","562-292-3834/18-10-05","562-292-3834/18-10-05","562-292-3834/18-10-05","SEK","-270.46","22834.91","Doc 1034","A826","2018-10-29 09:07:28"
"1370","2018-10-08","Db Tt/cchelp/18-10-05","Db Tt/cchelp/18-10-05","Db Tt/cchelp/18-10-05","SEK","-106.75","23105.37","Doc 1056","A825","2018-10-29 09:07:28"
"1369","2018-10-08","8009799850  /18-10-05","8009799850  /18-10-05","8009799850  /18-10-05","SEK","-559.57","23212.12","Doc 1020","A824","2018-10-29 09:07:28"
"1368","2018-10-04","Barcelona   /18-10-03","Barcelona   /18-10-03","Barcelona   /18-10-03","SEK","-319.36","23771.69","Doc 1092","A911","2018-10-29 09:07:28"
"1367","2018-10-03","Toronto     /18-10-02","Toronto     /18-10-02","Toronto     /18-10-02","SEK","-135.83","24091.05","Doc 1001","A912","2018-10-29 09:07:28"
"1366","2018-10-03","4154486673  /18-10-02","4154486673  /18-10-02","4154486673  /18-10-02","SEK","-64.77","24226.88","Doc 1009","A823","2018-10-29 09:07:28"
"1363","2018-10-02","Cc Google Co/18-10-01","Cc Google Co/18-10-01","Cc Google Co/18-10-01","SEK","-296.43","24291.65","Doc 1000","A731","2018-10-03 08:42:52"
"1362","2018-10-02","6463978051  /18-10-01","6463978051  /18-10-01","6463978051  /18-10-01","SEK","-51.03","24588.08","","A913","2018-10-03 08:42:52"
"1361","2018-10-02","8009799850  /18-10-01","8009799850  /18-10-01","8009799850  /18-10-01","SEK","-18.73","24639.11","","A914","2018-10-03 08:42:52"
"1360","2018-10-02","Klientmedel Billogram AB","",,"SEK","-1074","24657.84","Doc 987","A822","2018-10-03 08:42:52"
"1359","2018-10-01","8444658243  /18-09-30","8444658243  /18-09-30","8444658243  /18-09-30","SEK","-54.36","25731.84","Doc 1042","A775","2018-10-03 08:42:52"
"1358","2018-10-01","Trygg-Hansa","Trygg-Hansa","Trygg-Hansa","SEK","-301","25786.2","","A915","2018-10-03 08:42:52"
"1357","2018-10-01","3122815333  /18-09-28","3122815333  /18-09-28","3122815333  /18-09-28","SEK","-904.4","26087.2","Doc 1062","A820","2018-10-03 08:42:52"
"1356","2018-09-27","8778877815  /18-09-26","8778877815  /18-09-26","8778877815  /18-09-26","SEK","-1504.21","26991.6","Doc 1005","A709","2018-10-03 08:42:52"
"1355","2018-09-26","4158004537  /18-09-24","4158004537  /18-09-24","4158004537  /18-09-24","SEK","-523.52","28495.81","Doc 994","A704","2018-10-03 08:42:52"
"1354","2018-09-25","Taxi Stockho/18-09-23","Taxi Stockho/18-09-23","Taxi Stockho/18-09-23","SEK","-620","29019.33","Doc 996","A706","2018-10-03 08:42:52"
"1353","2018-09-25","Norrsken Hou/18-09-24","Norrsken Hou/18-09-24","Norrsken Hou/18-09-24","SEK","-11250","29639.33","Doc 990","A702","2018-10-03 08:42:52"
"1352","2018-09-25","Kostnad","Kostnad","Kostnad","SEK","-35","40889.33","","A714","2018-10-03 08:42:52"
"1351","2018-09-25","282689137284","282689137284","282689137284","SEK","-41922.53","40924.33","Doc 961","A795","2018-10-03 08:42:52"
"1350","2018-09-25","R118-P214","R118-P214","Lön","SEK","-16333","82846.86","Rep 118","A743","2018-10-03 08:42:52"
"1349","2018-09-25","R118-P213","R118-P213","Lön","SEK","-26170","99179.86","Rep 118","A744","2018-10-03 08:42:52"
"1348","2018-09-25","R118-P215","R118-P215","Lön","SEK","-26170","125349.86","Rep 118","A745","2018-10-03 08:42:52"
"1347","2018-09-25","Cool Company Skandinavie","",,"SEK","-19125","151519.86","Doc 940","A739","2018-10-03 08:42:52"
"1346","2018-09-24","4154486673  /18-09-23","4154486673  /18-09-23","4154486673  /18-09-23","SEK","-225.52","170644.86","Doc 993","A732","2018-10-03 08:42:52"
"1345","2018-09-21","8778877815  /18-09-20","8778877815  /18-09-20","8778877815  /18-09-20","SEK","-446.17","170870.38","","A887","2018-10-03 08:42:52"
"1344","2018-09-18","8778877815  /18-09-17","8778877815  /18-09-17","8778877815  /18-09-17","SEK","-918.12","171316.55","","A847,A881","2018-09-19 13:48:51"
"1343","2018-09-18","Bg 759-8147","Bg 759-8147","Bg 759-8147","SEK","82063","172234.67","","","2018-09-19 13:48:51"
"1342","2018-09-17","Bruce       /18-09-16","Bruce       /18-09-16","Bruce       /18-09-16","SEK","-790","90171.67","Doc 1094","A888","2018-09-19 13:48:51"
"1341","2018-09-14","8662781349  /18-09-13","8662781349  /18-09-13","8662781349  /18-09-13","SEK","-316.56","90961.67","Doc 973","A733","2018-09-19 13:48:51"
"1340","2018-09-13","35314369001 /18-09-12","35314369001 /18-09-12","35314369001 /18-09-12","SEK","-13532.79","91278.23","Doc 986","A730","2018-09-19 13:48:51"
"1339","2018-09-13","Tallinn     /18-09-12","Tallinn     /18-09-12","Tallinn     /18-09-12","SEK","-622.24","104811.02","Doc 984","A700","2018-09-19 13:48:51"
"1338","2018-09-13","Klientmedel Billogram AB","",,"SEK","-1354","105433.26","Doc 963","A746","2018-09-19 13:48:51"
"1337","2018-09-13","Klientmedel Billogram AB","",,"SEK","-1244","106787.26","Doc 926","A742","2018-09-19 13:48:51"
"1336","2018-09-13","Klientmedel Billogram AB","",,"SEK","-148","108031.26","Doc 962","A747","2018-09-19 13:48:51"
"1335","2018-09-12","London      /18-09-11","London      /18-09-11","London      /18-09-11","SEK","-232.62","108179.26","","A759,A919","2018-09-19 13:48:51"
"1334","2018-09-12","8773818743  /18-09-11","8773818743  /18-09-11","8773818743  /18-09-11","SEK","-232.62","108411.88","Doc 983","A736","2018-09-19 13:48:51"
"1333","2018-09-11","8887799666  /18-09-10","8887799666  /18-09-10","8887799666  /18-09-10","SEK","-129.9","108644.5","Doc 981","A748","2018-09-19 13:48:51"
"1332","2018-09-10","8887799666  /18-09-09","8887799666  /18-09-09","8887799666  /18-09-09","SEK","-136.31","108774.4","Doc 980","A698","2018-09-19 13:48:51"
"1331","2018-09-07","562-292-3834/18-09-05","562-292-3834/18-09-05","562-292-3834/18-09-05","SEK","-271.11","108910.71","Doc 1036","A780","2018-09-19 13:48:51"
"1330","2018-09-07","8009799850  /18-09-06","8009799850  /18-09-06","8009799850  /18-09-06","SEK","-137.05","109181.82","Doc 976","A694","2018-09-19 13:48:51"
"1329","2018-09-07","8009799850  /18-09-06","8009799850  /18-09-06","8009799850  /18-09-06","SEK","-135.93","109318.87","Doc 978","A696","2018-09-19 13:48:51"
"1328","2018-09-07","8887799666  /18-09-06","8887799666  /18-09-06","8887799666  /18-09-06","SEK","-151.61","109454.8","Doc 977","A750","2018-09-19 13:48:51"
"1327","2018-09-06","Db Tt/cchelp/18-09-05","Db Tt/cchelp/18-09-05","Db Tt/cchelp/18-09-05","SEK","-107.66","109606.41","Doc 1055","A766","2018-09-19 13:48:51"
"1326","2018-09-06","8009799850  /18-09-05","8009799850  /18-09-05","8009799850  /18-09-05","SEK","-93.61","109714.07","Doc 970","A691","2018-09-19 13:48:51"
"1325","2018-09-06","8009799850  /18-09-05","8009799850  /18-09-05","8009799850  /18-09-05","SEK","-46.72","109807.68","Doc 971","A711","2018-09-19 13:48:51"
"1324","2018-09-04","Barcelona   /18-09-03","Barcelona   /18-09-03","Barcelona   /18-09-03","SEK","-325.83","109854.4","Doc 1091","A889","2018-09-19 13:48:51"
"1323","2018-09-04","Cc Google Co/18-09-03","Cc Google Co/18-09-03","Cc Google Co/18-09-03","SEK","-304.11","110180.23","Doc 943","A737","2018-09-19 13:48:51"
"1322","2018-09-03","Toronto     /18-09-02","Toronto     /18-09-02","Toronto     /18-09-02","SEK","-93.72","110484.34","Doc 954","A687","2018-09-19 13:48:51"
"1321","2018-09-03","6463978051  /18-09-01","6463978051  /18-09-01","6463978051  /18-09-01","SEK","-52.49","110578.06","","A890","2018-09-19 13:48:51"
"1320","2018-09-03","4154486673  /18-09-02","4154486673  /18-09-02","4154486673  /18-09-02","SEK","-65.73","110630.55","Doc 969","A689","2018-09-19 13:48:51"
"1319","2018-09-03","Stockholms B/18-09-01","Stockholms B/18-09-01","Stockholms B/18-09-01","SEK","-45","110696.28","Doc 945","A734","2018-09-19 13:48:51"
"1318","2018-09-03","Stockholms B/18-09-01","Stockholms B/18-09-01","Stockholms B/18-09-01","SEK","-1875","110741.28","Doc 944","A735","2018-09-19 13:48:51"
"1317","2018-09-03","Trygg-Hansa","Trygg-Hansa","Trygg-Hansa","SEK","-301","112616.28","","A891","2018-09-19 13:48:51"
"1316","2018-09-03","Hi3g","Hi3g","Hi3g","SEK","-12","112917.28","","A892","2018-09-19 13:48:51"
"1315","2018-09-03","Buco Nero   /18-08-31","Buco Nero   /18-08-31","Buco Nero   /18-08-31","SEK","-900","112929.28","","A893","2018-09-19 13:48:51"
"1314","2018-08-31","8444658243  /18-08-30","8444658243  /18-08-30","8444658243  /18-08-30","SEK","-55.83","113829.28","Doc 1045","A846","2018-09-19 13:48:51"
"1313","2018-08-29","3122815333  /18-08-28","3122815333  /18-08-28","3122815333  /18-08-28","SEK","-928.87","113885.11","Doc 942","A738","2018-09-19 13:48:51"
"1312","2018-08-27","4158004537  /18-08-24","4158004537  /18-08-24","4158004537  /18-08-24","SEK","-543.97","114813.98","Doc 936","A740","2018-09-19 13:48:51"
"1311","2018-08-27","4158004537  /18-08-24","4158004537  /18-08-24","4158004537  /18-08-24","SEK","-0.38","115357.95","Doc 1028","A786","2018-09-19 13:48:51"
"1310","2018-08-27","Reggev Hummu/18-08-24","Reggev Hummu/18-08-24","Reggev Hummu/18-08-24","SEK","-360","115358.33","Doc 939","A678","2018-09-19 13:48:51"
"1309","2018-08-27","Norrsken Hou/18-08-24","Norrsken Hou/18-08-24","Norrsken Hou/18-08-24","SEK","-15000","115718.33","Doc 934","A674","2018-09-19 13:48:51"
"1308","2018-08-24","4154486673  /18-08-23","4154486673  /18-08-23","4154486673  /18-08-23","SEK","-233.77","130718.33","Doc 935","A845","2018-09-19 13:48:51"
"1307","2018-08-23","Bg 759-8147","Bg 759-8147","Bg 759-8147","SEK","3180","130952.1","","","2018-09-19 13:48:51"
"1306","2018-08-22","Everyday AB","Everyday AB","Everyday AB","SEK","34000","127772.1","","","2018-09-19 13:48:51"
"1305","2018-08-21","8778877815  /18-08-20","8778877815  /18-08-20","8778877815  /18-08-20","SEK","-461.99","93772.1","Doc 959","A842","2018-09-19 13:48:51"
"1304","2018-08-20","Kostnad","Kostnad","Kostnad","SEK","-35","94234.09","","A713,A715,A917","2018-09-19 13:48:51"
"1303","2018-08-20","282328901779","282328901779","282328901779","SEK","-26125.63","94269.09","Doc 924","A841","2018-09-19 13:48:51"
"1302","2018-08-20","Skatteverket","Skatt",,"SEK","-2181","120394.72","","A902","2018-09-19 13:48:51"
"1301","2018-08-20","8778877815  /18-08-17","8778877815  /18-08-17","8778877815  /18-08-17","SEK","-936","122575.72","Doc 965","A741","2018-09-19 13:48:51"
"1295","2018-08-17","Alexander Awareness Tg","Faktura 1009962","Faktura 1009962","SEK","-850","123511.72","Doc 1096","A882","2018-08-19 16:19:11"
"1294","2018-08-15","3233752822  /18-08-13","3233752822  /18-08-13","3233752822  /18-08-13","SEK","-1289.59","124361.72","Doc 929","A640","2018-08-19 16:19:11"
"1293","2018-08-13","8773818743  /18-08-11","8773818743  /18-08-11","8773818743  /18-08-11","SEK","-234.18","125651.31","","A633,A921","2018-08-19 16:19:11"
"1292","2018-08-13","London      /18-08-11","London      /18-08-11","London      /18-08-11","SEK","-234.18","125885.49","Doc 927","A663","2018-08-19 16:19:11"
"1291","2018-08-13","Tallinn     /18-08-12","Tallinn     /18-08-12","Tallinn     /18-08-12","SEK","-619.83","126119.67","Doc 930","A639","2018-08-19 16:19:11"
"1290","2018-08-13","12122557327 /18-08-12","12122557327 /18-08-12","12122557327 /18-08-12","SEK","-327.86","126739.5","Doc 972","A667","2018-08-19 16:19:11"
"1289","2018-08-10","8662781349  /18-08-09","8662781349  /18-08-09","8662781349  /18-08-09","SEK","-316.25","127067.36","Doc 923","A645","2018-08-19 16:19:11"
"1288","2018-08-10","Skatteverket","",,"SEK","-55248","127383.61","","A901","2018-08-19 16:19:11"
"1287","2018-08-09","Bruce       /18-08-08","Bruce       /18-08-08","Bruce       /18-08-08","SEK","-711","182631.61","Doc 1095","A883","2018-08-19 16:19:11"
"1286","2018-08-09","3233752822  /18-08-07","3233752822  /18-08-07","3233752822  /18-08-07","SEK","-230.48","183342.61","Doc 920","A643","2018-08-19 16:19:10"
"1285","2018-08-09","Klientmedel Billogram AB","",,"SEK","-1244","183573.09","Doc 905","A627","2018-08-19 16:19:10"
"1284","2018-08-08","562-292-3834/18-08-06","562-292-3834/18-08-06","562-292-3834/18-08-06","SEK","-265.89","184817.09","Doc 1033","A630","2018-08-19 16:19:10"
"1283","2018-08-07","Skatteverket","Skatt",,"SEK","-2204","185082.98","","A900","2018-08-19 16:19:10"
"1282","2018-08-06","Db Tt/cchelp/18-08-05","Db Tt/cchelp/18-08-05","Db Tt/cchelp/18-08-05","SEK","-105.57","187286.98","Doc 966","A655","2018-08-19 16:19:10"
"1281","2018-08-06","Est Moms","Est Moms","Est Moms","SEK","-34000","187392.55","","A628","2018-08-19 16:19:10"
"1280","2018-08-06","Hi3g","Hi3g","Hi3g","SEK","-542","221392.55","","A884","2018-08-19 16:19:10"
"1279","2018-08-03","Toronto     /18-08-02","Toronto     /18-08-02","Toronto     /18-08-02","SEK","-90.79","221934.55","Doc 917","A664","2018-08-19 16:19:10"
"1278","2018-08-03","4154486673  /18-08-02","4154486673  /18-08-02","4154486673  /18-08-02","SEK","-63.68","222025.34","Doc 925","A644","2018-08-19 16:19:10"
"1277","2018-08-03","Klientmedel Billogram AB","",,"SEK","-387","222089.02","Doc 914","A629","2018-08-19 16:19:10"
"1276","2018-08-02","Ccögoogle Co/18-08-01","Ccögoogle Co/18-08-01","Ccögoogle Co/18-08-01","SEK","-294.78","222476.02","Doc 915","A665","2018-08-19 16:19:10"
